48 Software
48 Software Pay-As-You-Go
AG AWS Cost and Usage
akilafoods.onmicrosoft.com
amcengineerscoza.onmicrosoft.com
AWS New
bauafrika.onmicrosoft.com
bauxitestockist.onmicrosoft.com
bdplawazure.onmicrosoft.com
bloomableza.onmicrosoft.com
blueoaksystemsza.onmicrosoft.com
bravodesignza.onmicrosoft.com
BroadReach Corp
BroadReach Healthcare
Business Services Non-Prod
Business Services Prod
Clicks CSP
CloudOps_Learning
coasite.onmicrosoft.com
coiffeuse.onmicrosoft.com_1052422
colbeeaccountants.onmicrosoft.com
compoundholdingsptyltd.onmicrosoft.com
Core-Development
Core-Infrastructure
Core-Production
creditinnovations.onmicrosoft.com
Crimson Line CSP
CXM (Live)
CXM and Living Ticket (Test)
Data Pipeline (Development)
Development (Brazilian Fiscal)
Development (Connect)
Development (Engineering)
Development (Film)
Development (GroupSales)
Development (Infrastructure)
Development (Internal Apps)
Development (Interns)
Development (LATAM)
Development (Logi Analytics)
Development (Mobile Productivity)
Development (OCC)
Development (Platform)
Development (Regal Perf Test)
Development (Service Feedback)
Development (Services Team)
Development (UK Test)
Development (v5 Dev/Test Lab)
Development (Weather)
devolkskombuis.onmicrosoft.com
DFA-IT
durampaint.onmicrosoft.com
efselectr.onmicrosoft.com
Endulini CSP
Entelect
Enterprise Worx CSP
enterpriseworx.onmicrosoft.com
excluservazure.onmicrosoft.com
Global Services (LIVE)
Global Services (Staging and QA)
Group IT
guardiarza.onmicrosoft.com
gulfza.onmicrosoft.com
hertexfabricsptyltd.onmicrosoft.com
Institutional Non-Prod
interxionsa.onmicrosoft.com
lamprechtmeyer.onmicrosoft.com
lewisgroupltd.onmicrosoft.com
Living Ticket (Live)
Lumos (Live)
Lumos (Test)
Marketing
Microsoft Azure Sponsorship 1
Microsoft Azure Sponsorship 2
Microsoft Azure Sponsorship 3
Microsoft Partner Network
Mint Group
MovieTeam (Live)
MX API (Live)
MX API (Test)
MX Film (Live)
MX Film (Test)
MX Film Admin (Live)
MX Payments (Live)
MX Payments (Test)
Nebula
Nebula AWS
Nebula CSP
Nebula Pay-As-You-Go
nsiaudit.onmicrosoft.com
NZIFF
onedayonly.onmicrosoft.com
organicchem.onmicrosoft.com
outdoorinvestment.onmicrosoft.com
pastel.onmicrosoft.com
Pay-As-You-Go
Pick n Pay AWS
Pick n Pay Azure
pintellsolutions.onmicrosoft.com
proudlysa.onmicrosoft.com
redpandasoftware479.onmicrosoft.com
Retail Prod
riaanintegriaco.onmicrosoft.com
rmortlaw.onmicrosoft.com
rtmsza.onmicrosoft.com
rustenvrede.onmicrosoft.com
saccra.onmicrosoft.com
Sandbox Subscription
sapga.onmicrosoft.com
saverglasscpt.onmicrosoft.com
schmidtfamilyoffice.onmicrosoft.com
Services Team (API Site)
Services Team (Bug Fix)
Services Team (Champion Pictures UAT)
Services Team (GU)
Services Team (Internal Client 1)
Services Team (Internal Project)
Services Team (Japan UAT)
Services Team (Miramar)
Services Team (New Vision UAT)
Services Team (Paradise Cinemas)
Services Team (Roxy)
Services Team (State Cinemas UAT)
Services Team (Sterkinekor)
Services Team (UK Bug Replication)
Services Team (US Bug Replication)
Services Training (USA)
Shared Services Prod
Subscriptions Portal (Live)
Subscriptions Portal (Test)
Thunderbird - CIM (Dev)
Thunderbird - CM (Dev)
Thunderbird - Vouchers (Dev)
Thunderbird (Live)
Thunderbird (Test)
uturnministries.onmicrosoft.com
Veezi (Live)
Veezi (Storefront)
Veezi (Test)
vilafontewines.onmicrosoft.com
Vista Cloud (Internal)
Vista Cloud (Live)
Vista Cloud (Sandbox)
Vista Compute Cloud (Live)
Vista Compute Cloud (Test)
Vista Digital UK (TEST)
Vista Managed Services (Production)
Vista Managed Services (Staging)
wauko.onmicrosoft.com
